date;press_in1;press_in2;press_out;flow;volume
01.12.2017 0:00;41,89;0;74,71;12;106441
02.12.2017 0:00;41,92;0;74,15;13;106730
03.12.2017 0:00;41,89;0;73,85;14;107044
04.12.2017 0:00;42,2;0;75,03;12;107373
05.12.2017 0:00;42,06;0;74,64;13;107667
06.12.2017 0:00;42,08;0;74,96;12;107969
07.12.2017 0:00;42,37;0;75,61;11;108258
08.12.2017 0:00;42,24;0;75,15;12;108521
09.12.2017 0:00;42,1;0;74,08;14;108808
10.12.2017 0:00;41,73;0;73,3;14;109135
11.12.2017 0:00;42,79;0;75,27;13;109479
12.12.2017 0:00;42,57;0;75,25;12;109788
13.12.2017 0:00;42,35;0;75,34;12;110082
14.12.2017 0:00;41,9;0;74,57;12;110360
15.12.2017 0:00;42,06;0;74,87;12;110655
16.12.2017 0:00;41,52;0;73,92;13;110942
17.12.2017 0:00;41,38;0;72,62;15;111248
18.12.2017 0:00;41,55;0;72,86;15;111603
19.12.2017 0:00;41,7;0;72,06;17;111957
20.12.2017 0:00;41,67;0;71,97;17;112362
21.12.2017 0:00;41,59;0;72,17;17;112771
22.12.2017 0:00;41,49;0;72,21;16;113169
23.12.2017 0:00;41,53;0;70,33;19;113560
24.12.2017 0:00;41,13;0;70,3;19;114020
25.12.2017 0:00;41,91;0;74,35;13;114466
26.12.2017 0:00;41,97;0;75,12;11;114782
27.12.2017 0:00;42,4;0;75,69;11;115056
28.12.2017 0:00;38,87;0;68,88;11;115318
29.12.2017 0:00;42,02;0;74,99;12;115590
30.12.2017 0:00;41,73;0;58,17;17;115877
31.12.2017 0:00;41,43;0;71,28;17;116292
01.01.2018 0:00;37,8;0;71,42;11;0
02.01.2018 0:00;39,09;0;72,15;11;248
03.01.2018 0:00;39,61;0;72,94;11;515
04.01.2018 0:00;40,34;0;73,48;11;777
05.01.2018 0:00;34,87;0;69,88;7;1049
06.01.2018 0:00;35,17;0;70,18;7;1085
07.01.2018 0:00;35,17;0;70,18;7;1085
08.01.2018 0:00;35,17;0;70,18;7;1085
09.01.2018 0:00;35,17;0;70,18;7;1085
10.01.2018 0:00;40,55;0;74,27;10;1085
11.01.2018 0:00;41,76;0;74,83;12;2749
12.01.2018 0:00;41,86;0;75,08;11;3026
13.01.2018 0:00;41,63;0;74,25;12;3298
14.01.2018 0:00;41,89;0;74,05;13;3596
15.01.2018 0:00;42,1;0;75,09;12;3913
16.01.2018 0:00;41,84;0;75,02;11;4195
17.01.2018 0:00;42,24;0;75,13;12;4469
18.01.2018 0:00;42,53;0;75,57;12;4754
19.01.2018 0:00;42,13;0;75,44;11;5032
20.01.2018 0:00;41,7;0;74,03;13;5299
21.01.2018 0:00;41,64;0;73,65;13;5612
22.01.2018 0:00;42,49;0;75,22;12;5930
23.01.2018 0:00;42,59;0;76,15;10;6223
24.01.2018 0:00;42,03;0;74,99;12;6472
25.01.2018 0:00;43,06;0;76,14;11;6754
26.01.2018 0:00;41,87;0;75,21;11;7028
27.01.2018 0:00;42,18;0;74,61;13;7288
28.01.2018 0:00;41,86;0;73,89;14;7595
29.01.2018 0:00;42,53;0;75,62;12;7921
30.01.2018 0:00;42,4;0;75,9;10;8201
31.01.2018 0:00;41,84;0;74,76;12;8450
01.02.2018 0:00;42,18;0;75,39;11;8733
02.02.2018 0:00;42,49;0;75,58;12;9006
03.02.2018 0:00;42,12;0;74,46;13;9284
04.02.2018 0:00;41,18;0;73,1;14;9590
05.02.2018 0:00;42,3;0;75,33;12;9916
06.02.2018 0:00;42,13;0;75,6;10;10196
07.02.2018 0:00;42,49;0;75,76;11;10445
08.02.2018 0:00;42,15;0;75,58;11;10705
09.02.2018 0:00;41,93;0;75,15;11;10959
10.02.2018 0:00;41,6;0;74,06;13;11229
11.02.2018 0:00;41,7;0;73,79;13;11534
12.02.2018 0:00;42,53;0;75,56;12;11848
13.02.2018 0:00;42,46;0;75,86;11;12127
14.02.2018 0:00;42,44;0;75,7;11;12384
15.02.2018 0:00;42,17;0;75,4;11;12653
16.02.2018 0:00;42,26;0;75,57;11;12920
17.02.2018 0:00;42,08;0;74,08;14;13184
18.02.2018 0:00;42,26;0;74,62;13;13511
19.02.2018 0:00;42,45;0;75,58;11;13820
20.02.2018 0:00;42,25;0;75,36;11;14090
21.02.2018 0:00;42,48;0;75,57;12;14364
22.02.2018 0:00;42,64;0;76,14;11;14641
23.02.2018 0:00;41,66;0;73,86;13;14899
24.02.2018 0:00;41,59;0;74,34;12;15208
25.02.2018 0:00;42,1;0;73,98;14;15496
26.02.2018 0:00;43,16;0;76,25;12;15825
27.02.2018 0:00;43,32;0;76,58;11;16106
28.02.2018 0:00;42,37;0;75,57;11;16371
01.03.2018 0:00;42,61;0;73,2;12;16644
02.03.2018 0:00;42,22;0;75,45;12;16926
03.03.2018 0:00;42,74;0;75,15;13;17203
04.03.2018 0:00;42,28;0;74,48;13;17516
05.03.2018 0:00;42,67;0;75,69;12;17838
06.03.2018 0:00;42,5;0;75,93;11;18124
07.03.2018 0:00;41,83;0;75,23;11;18390
08.03.2018 0:00;41,78;0;74,75;12;18658
09.03.2018 0:00;41,23;0;74,19;12;18948
10.03.2018 0:00;41,87;0;74,9;12;19239
11.03.2018 0:00;41,86;0;73,73;14;19522
12.03.2018 0:00;42,57;0;75,6;12;19856
13.03.2018 0:00;42,47;0;75,82;11;20146
14.03.2018 0:00;42,59;0;75,88;11;20416
15.03.2018 0:00;42,21;0;75,53;11;20690
16.03.2018 0:00;42,27;0;75,73;11;20959
17.03.2018 0:00;42,06;0;74,17;14;21224
18.03.2018 0:00;41,99;0;73,98;14;21552
19.03.2018 0:00;42,98;0;75,94;12;21884
20.03.2018 0:00;42,83;0;75,99;12;22176
21.03.2018 0:00;42,41;0;75,56;12;22454
22.03.2018 0:00;42,96;0;76,14;12;22731
23.03.2018 0:00;42,84;0;75,99;12;23011
24.03.2018 0:00;41,93;0;74,45;13;23288
25.03.2018 0:00;41,98;0;74,24;13;23595
26.03.2018 0:00;41,99;0;75,07;12;23918
27.03.2018 0:00;40,18;0;73,52;11;24199
28.03.2018 0:00;40,3;0;73,68;11;24466
29.03.2018 0:00;40,07;0;73,38;11;24732
30.03.2018 0:00;40,41;0;73,43;12;25003
31.03.2018 0:00;39,89;0;71,72;14;25293
01.04.2018 0:00;38,97;0;71,43;13;25628
02.04.2018 0:00;40,31;0;73;13;25943
03.04.2018 0:00;40,49;0;73,59;12;26248
04.04.2018 0:00;40,85;0;73,84;12;26527
05.04.2018 0:00;41,31;0;74,06;13;26811
06.04.2018 0:00;42,15;0;74,2;14;27112
07.04.2018 0:00;42,42;0;74,67;14;27435
08.04.2018 0:00;38,07;0;70,88;12;27764
09.04.2018 0:00;40,18;0;73,5;11;28059
10.04.2018 0:00;40,53;0;73,12;13;28324
11.04.2018 0:00;40,31;0;73,23;12;28628
12.04.2018 0:00;40,51;0;73,18;13;28918
13.04.2018 0:00;40,01;0;72,98;12;29219
14.04.2018 0:00;40,39;0;72,58;14;29511
15.04.2018 0:00;41,07;0;73,24;13;29843
16.04.2018 0:00;41,82;0;74,25;13;30166
17.04.2018 0:00;45,25;0;77,01;14;30428
18.04.2018 0:00;40,56;0;73,47;12;30746
19.04.2018 0:00;40,98;0;73,96;12;31031
20.04.2018 0:00;40,31;0;73,38;12;31314
21.04.2018 0:00;39,08;0;71,26;13;31595
22.04.2018 0:00;39,81;0;70,84;14;31916
23.04.2018 0:00;40,61;0;73,23;13;32251
24.04.2018 0:00;40,64;0;73,34;12;32557
25.04.2018 0:00;40,31;0;72,89;13;32853
26.04.2018 0:00;40,25;0;72,62;13;33157
27.04.2018 0:00;39,75;0;72,75;12;33464
28.04.2018 0:00;39,47;0;72,07;13;33754
29.04.2018 0:00;38,39;0;71,5;12;34054
30.04.2018 0:00;37,17;0;70,64;11;34329
01.05.2018 0:00;37,43;0;70,6;11;34581
02.05.2018 0:00;39,61;0;72,09;12;34847
03.05.2018 0:00;39,64;0;72,32;13;35144
04.05.2018 0:00;39,11;0;72,17;12;35444
05.05.2018 0:00;38,22;0;71,22;12;35727
06.05.2018 0:00;39,79;0;72,25;13;36010
07.05.2018 0:00;39,8;0;71,62;14;36315
08.05.2018 0:00;39,48;0;72,51;11;36643
09.05.2018 0:00;38,51;0;71,06;12;36918
10.05.2018 0:00;39,91;0;73,01;11;37216
11.05.2018 0:00;39,43;0;71,45;13;37480
12.05.2018 0:00;39,11;0;72,08;11;37798
13.05.2018 0:00;39,1;0;71,63;13;38071
14.05.2018 0:00;40,77;0;73,29;12;38371
15.05.2018 0:00;40,25;0;72,83;12;38668
16.05.2018 0:00;40,48;0;72,92;12;38962
17.05.2018 0:00;40,31;0;72,92;12;39258
18.05.2018 0:00;38,89;0;57,78;22;39552
19.05.2018 0:00;38,04;0;71,35;11;40078
20.05.2018 0:00;38,56;0;71,31;12;40341
21.05.2018 0:00;39,87;0;72,52;12;40634
22.05.2018 0:00;40,13;0;73,87;9;40927
23.05.2018 0:00;40,14;0;73,91;9;41140
24.05.2018 0:00;39,99;0;73,9;9;41361
